"Year","County","Dispensary_Count","Population","Dispensary_PerCapita"
"2022","Orange County","51","3151184","1.6184392913902"
"2022","Placer County","1","417772","0.23936501249485"
"2022","Riverside County","126","2473902","5.0931686057087"
"2022","Sacramento County","102","1584169","6.438706981389"
"2022","San Benito County","1","67579","1.4797496263632"
"2022","San Bernardino County","40","2193656","1.8234399559457"
"2022","San Diego County","69","3276208","2.1060933860121"
"2022","San Francisco County","77","808437","9.524551696669"
"2022","San Joaquin County","15","793229","1.8910049935138"
"2022","San Luis Obispo County","19","282013","6.7372780687415"
"2022","San Mateo County","15","729181","2.0571024203867"
"2022","Santa Barbara County","29","443837","6.5339302491681"
"2022","Santa Clara County","8","1870945","0.42759140434379"
"2022","Santa Cruz County","20","264370","7.5651548965465"
"2022","Shasta County","9","180930","4.9742994528271"
"2022","Siskiyou County","5","43660","11.452130096198"
"2022","Solano County","19","448747","4.2340115922781"
"2022","Sonoma County","31","482650","6.4228737180151"
"2022","Stanislaus County","24","551275","4.3535440569589"
"2022","Tehama County","1","65245","1.5326844968963"
"2022","Tulare County","15","477544","3.141071817466"
"2022","Tuolumne County","2","54531","3.6676385908933"
"2022","Ventura County","28","832605","3.3629392088685"
"2022","Yolo County","5","222115","2.2510861490669"
"2022","Yuba County","2","84310","2.3721978413"
